iter	Passed	Remaining
890	77743	9510
891	77822	9422
892	77883	9332
893	77948	9242
894	78012	9152
895	78084	9063
896	78162	8975
897	78247	8887
898	78320	8799
899	78389	8709
900	78446	8619
901	78505	8529
902	78557	8438
903	78623	8349
904	78678	8259
905	78728	8168
906	78809	8080
907	78872	7991
908	78936	7902
909	79019	7815
910	79104	7728
911	79210	7643
912	79288	7555
913	79357	7466
914	79437	7379
915	79527	7292
916	79606	7205
917	79669	7116
918	79721	7026
919	79782	6937
920	79843	6848
921	79895	6759
922	79962	6670
923	80037	6583
924	80099	6494
925	80165	6406
926	80248	6319
927	80318	6231
928	80411	6145
929	80497	6058
930	80588	5972
931	80691	5887
932	80819	5803
933	80930	5718
934	81023	5632
935	81096	5545
936	81206	5459
937	81286	5372
938	81363	5285
939	81439	5198
940	81540	5112
941	81625	5025
942	81709	4938
943	81767	4850
944	81857	4764
945	81927	4676
946	81996	4589
947	82079	4502
948	82226	4418
949	82332	4333
950	82437	4247
951	82512	4160
952	82592	4073
953	82654	3985
954	82713	3897
955	82806	3811
956	82885	3724
957	82944	3636
958	83020	3549
959	83088	3462
960	83161	3374
961	83256	3288
962	83329	3201
963	83409	3114
964	83498	3028
965	83620	2943
966	83707	2856
967	83775	2769
968	83846	2682
969	83928	2595
970	84005	2508
971	84083	2422
972	84165	2335
973	84239	2248
974	84296	2161
975	84354	2074
976	84433	1987
977	84490	1900
978	84549	1813
979	84623	1727
980	84677	1640
981	84760	1553
982	84852	1467
983	84920	1380
984	85012	1294
985	85074	1207
986	85144	1121
987	85218	1035
988	85280	948
989	85341	862
990	85420	775
991	85487	689
992	85554	603
993	85624	516
994	85681	430
995	85746	344
996	85814	258
997	85876	172
998	85936	86
999	86012	0
